Game_Designer	by Thomas Tang (DZ)
Last_Update	Last Updated: Jan 16, 2026
Translator_Credit	Original Language
Language	Language
Loading	Loading
Update_History	Update History
Upload_Translation	Upload Translation
Download_English	Download English
Select_Region	Select Region
US_West_Coast	US West Coast
US_East_Coast	US East Coast
Europe	Europe
Asia	Asia
Single_Player	Single Player
Connect	Connect
Enter_username	Enter username
Disconnect	Disconnect
Disconnected_from_server	Disconnected from the server.
Failed_to_connect_to_server	Failed to connect to the server.
Reconnect	Reconnect
Online_Tutorial_1	To play multiplayer: Have 1 person create a room, then their room should be displayed below. Everyone also must have joined the same server region.
Online_Tutorial_2	Click a button below to join a room, or manually type in the host's username (yellow rooms are spectator only)
Create	Create
Create_Room_with_players	Create a room with how many players?
Enter_hostname	Enter host's username
Join	Join
Player_Count	$Current$ / $Max$ Players
Type_in_username	You have to type in a username.
Attempt_to_reconnect	Attempting to reconnect to $Room$'s room...
Failed_to_reconnect	Failed to reconnect to $Room$'s room.
Encyclopedia	Encyclopedia
Close	Close
Type_into_chat	Type into chat
Undo	Undo
Short	Short
Long	Long
Player_Playing	$Player$ is playing.
Player_Spectating	$Player$ is spectating.
Player_Reconnected	$Player$ reconnected.
Player_Disconnected	$Player$ has disconnected.
Player_Quit	$Player$ has quit the room.
Waiting_on_Players	Waiting on players ($Num$ more)
Confirm	Confirm
Decline	Decline
Choose_One_Instruction	Choose one ($Card$).
Discard_Instruction	Discard 1 Card ($Card$).
Target_Instruction	Choose one of $Player$'s Card ($Card$).
Pick_Player	$Player$
Blank	
Game_Over	Game Over
Leave	Leave
Tie_Game	The game is a tie.
Player_Resigned	$Player$ has resigned.
Player_Lost	$Player$ has lost.
Resigned	(Resigned)
Next_Card	Next card: $Card$
